date,site,start,duration,seen
2024-07-28,Carrie Nation,9.25,3,yes
2024-07-27,Carrie Nation,13,2,no
2024-07-27,Carrie Nation,8.5,4,yes
2024-07-26,Carrie Nation,13.75,1.3,no
2024-07-30,Carrie Nation,7.5,6.5,yes
2024-07-30,Carrie Nation,7.42,5.42,yes
2024-07-27,Mt. Wrightson Picnic,12.5,1,no
2024-07-27,Mt. Wrightson Picnic,9.5,1,yes
2024-07-27,Mt. Wrightson Picnic,8,2.4,no
2024-07-28,Mt. Wrightson Picnic,12.86,1.3,no
2024-07-28,Mt. Wrightson Picnic,9,2.5,no
2024-07-29,Mt. Wrightson Picnic,8,4,yes
2024-07-29,Mt. Wrightson Picnic,7.6,1.5,yes
2024-07-30,Old Baldy,6,3.3,yes
2024-07-27,Old Baldy,7.5,1.5,no
2024-07-26,Old Baldy,7.75,3.66,no
2024-07-27,Nature Trail,12,0.5,no
2024-07-26,Nature Trail,7.3,1,yes
